ticker,first_obs,last_obs,n_obs,n_missing_inside,n_zero_price,max_abs_daily_ret,n_daily_ret_gt_20pct
SPY,2007-06-01,2025-12-30,4676,0,0,0.1451974744224689,0
IWM,2007-06-01,2025-12-30,4676,0,0,0.13266929625625845,0
QQQ,2007-06-01,2025-12-30,4676,0,0,0.12164761242314892,0
EFA,2007-06-01,2025-12-30,4676,0,0,0.15887679426270718,0
EEM,2007-06-01,2025-12-30,4676,0,0,0.22769822316277932,2
SHY,2007-06-01,2025-12-30,4676,0,0,0.009973709605529901,0
IEF,2007-06-01,2025-12-30,4676,0,0,0.03426265242718696,0
TLT,2007-06-01,2025-12-30,4676,0,0,0.07519563351027858,0
TIP,2007-06-01,2025-12-30,4676,0,0,0.04453655041900206,0
LQD,2007-06-01,2025-12-30,4676,0,0,0.09767705456179332,0
HYG,2007-06-01,2025-12-30,4676,0,0,0.12268860928486358,0
AGG,2007-06-01,2025-12-30,4676,0,0,0.06839469141551724,0
GLD,2007-06-01,2025-12-30,4676,0,0,0.11290530102327678,0
DBC,2007-06-01,2025-12-30,4676,0,0,0.07944421255831913,0
VNQ,2007-06-01,2025-12-30,4676,0,0,0.19513724850593228,0
BIL,2007-06-01,2025-12-30,4676,0,0,0.004349995106436522,0
